'Hydrogen','H',1,1.008,1,1.000
'Helium','He',2,4.003,1,18.000
'Lithium','Li',3,6.941,2,1.000
'Beryllium','Be',4,9.012,2,2.000
'Boron','B',5,10.811,2,13.000
'Carbon','C',6,12.011,2,14.000
'Nitrogen','N',7,14.007,2,15.000
'Oxygen','O',8,15.999,2,16.000
'Fluorine','F',9,18.998,2,17.000
'Neon','Ne',10,20.180,2,18.000
'Sodium','Na',11,22.990,3,1.000
'Magnesium','Mg',12,24.305,3,2.000
'Aluminum','Al',13,26.982,3,13.000
'Silicon','Si',14,28.086,3,14.000
'Phosphorus','P',15,30.974,3,15.000
'Sulfur','S',16,32.065,3,16.000
'Chlorine','Cl',17,35.453,3,17.000
'Argon','Ar',18,39.948,3,18.000
'Potassium','K',19,39.098,4,1.000
'Calcium','Ca',20,40.078,4,2.000
'Scandium','Sc',21,44.956,4,3.000
'Titanium','Ti',22,47.867,4,4.000
'Vanadium','V',23,50.942,4,5.000
'Chromium','Cr',24,51.996,4,6.000
'Manganese','Mn',25,54.938,4,7.000
'Iron','Fe',26,55.845,4,8.000
'Cobalt','Co',27,58.933,4,9.000
'Nickel','Ni',28,58.693,4,10.000
'Copper','Cu',29,63.546,4,11.000
'Zinc','Zn',30,65.390,4,12.000
'Gallium','Ga',31,69.723,4,13.000
'Germanium','Ge',32,72.640,4,14.000
'Arsenic','As',33,74.922,4,15.000
'Selenium','Se',34,78.960,4,16.000
'Bromine','Br',35,79.904,4,17.000
'Krypton','Kr',36,83.800,4,18.000
'Rubidium','Rb',37,85.468,5,1.000
'Strontium','Sr',38,87.620,5,2.000
'Yttrium','Y',39,88.906,5,3.000
'Zirconium','Zr',40,91.224,5,4.000
'Niobium','Nb',41,92.906,5,5.000
'Molybdenum','Mo',42,95.940,5,6.000
'Technetium','Tc',43,98.000,5,7.000
'Ruthenium','Ru',44,101.070,5,8.000
'Rhodium','Rh',45,102.906,5,9.000
'Palladium','Pd',46,106.420,5,10.000
'Silver','Ag',47,107.868,5,11.000
'Cadmium','Cd',48,112.411,5,12.000
'Indium','In',49,114.818,5,13.000
'Tin','Sn',50,118.710,5,14.000
'Antimony','Sb',51,121.760,5,15.000
'Tellurium','Te',52,127.600,5,16.000
'Iodine','I',53,126.905,5,17.000
'Xenon','Xe',54,131.293,5,18.000
'Cesium','Cs',55,132.906,6,1.000
'Barium','Ba',56,137.327,6,2.000
'Lanthanum','La',57,138.906,6,3.000
'Cerium','Ce',58,140.116,6,101.000
'Praseodymium','Pr',59,140.908,6,101.000
'Neodymium','Nd',60,144.240,6,101.000
'Promethium','Pm',61,145.000,6,101.000
'Samarium','Sm',62,150.360,6,101.000
'Europium','Eu',63,151.964,6,101.000
'Gadolinium','Gd',64,157.250,6,101.000
'Terbium','Tb',65,158.925,6,101.000
'Dysprosium','Dy',66,162.500,6,101.000
'Holmium','Ho',67,164.930,6,101.000
'Erbium','Er',68,167.259,6,101.000
'Thulium','Tm',69,168.934,6,101.000
'Ytterbium','Yb',70,173.040,6,101.000
'Lutetium','Lu',71,174.967,6,101.000
'Hafnium','Hf',72,178.490,6,4.000
'Tantalum','Ta',73,180.948,6,5.000
'Tungsten','W',74,183.840,6,6.000
'Rhenium','Re',75,186.207,6,7.000
'Osmium','Os',76,190.230,6,8.000
'Iridium','Ir',77,192.217,6,9.000
'Platinum','Pt',78,195.078,6,10.000
'Gold','Au',79,196.967,6,11.000
'Mercury','Hg',80,200.590,6,12.000
'Thallium','Tl',81,204.383,6,13.000
'Lead','Pb',82,207.200,6,14.000
'Bismuth','Bi',83,208.980,6,15.000
'Polonium','Po',84,209.000,6,16.000
'Astatine','At',85,210.000,6,17.000
'Radon','Rn',86,222.000,6,18.000
'Francium','Fr',87,223.000,7,1.000
'Radium','Ra',88,226.000,7,2.000
'Actinium','Ac',89,227.000,7,3.000
'Thorium','Th',90,232.038,7,102.000
'Protactinium','Pa',91,231.036,7,102.000
'Uranium','U',92,238.029,7,102.000
'Neptunium','Np',93,237.000,7,102.000
'Plutonium','Pu',94,244.000,7,102.000
'Americium','Am',95,243.000,7,102.000
'Curium','Cm',96,247.000,7,102.000
'Berkelium','Bk',97,247.000,7,102.000
'Californium','Cf',98,251.000,7,102.000
'Einsteinium','Es',99,252.000,7,102.000
'Fermium','Fm',100,257.000,7,102.000
'Mendelevium','Md',101,258.000,7,102.000
'Nobelium','No',102,259.000,7,102.000
'Lawrencium','Lr',103,262.000,7,102.000
'Rutherfordium','Rf',104,261.000,7,4.000
'Dubnium','Db',105,262.000,7,5.000
'Seaborgium','Sg',106,266.000,7,6.000
'Bohrium','Bh',107,264.000,7,7.000
'Hassium','Hs',108,277.000,7,8.000
'Meitnerium','Mt',109,268.000,7,9.000
,,,,,